index,sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text,Combinations
0.0,"[E1]Rocky Subramanian[/E1], SVP & MD of [E2]SAP[/E2], talks us through the benefits of human and tech augmentation in the manufacturing industry...","[PERSON]Rocky Subramanian[/PERSON], SVP & MD of [ORG]SAP[/ORG], talks us through the benefits of human and tech augmentation in the manufacturing industry...",Rocky Subramanian,SAP,managerOf,"['PERSON', 'ORG']",article_197_human_tech.txt,0.0,"[E1]Rocky Subramanian[/E1], SVP & MD of [E2]SAP[/E2], talks us through the benefits of human and tech augmentation in the manufacturing industry   .","[E1]Rocky Subramanian[/E1], SVP & MD of [E2]SAP[/E2], talks us through the benefits of human and tech augmentation in the manufacturing industry   ."
1.0,"Said [E1]Roger Assaker[/E1], President of Design & Engineering in [E2]Hexagon[/E2]’s Manufacturing Intelligence division: ‘Simulation holds the key to innovations in aerospace and eMobility. Advances such as the low-power Fugaku supercomputing architecture are one of the ways we can tap into these insights without costing the Earth, and I am delighted by what our Cradle CFD team and our partners have achieved’.","Said [PERSON]Roger Assaker[/PERSON], President of Design & Engineering in [ORG]Hexagon[/ORG]’s Manufacturing Intelligence division: ‘Simulation holds the key to innovations in aerospace and eMobility. Advances such as the low-power Fugaku supercomputing architecture are one of the ways we can tap into these insights without costing the Earth, and I am delighted by what our Cradle CFD team and our partners have achieved’.",Roger Assaker,Hexagon,managerOf,"['PERSON', 'ORG']",article_197_human_tech.txt,0.0,"Said [E1]Roger Assaker[/E1], President of Design & Engineering in [E2]Hexagon[/E2]’s Manufacturing Intelligence division: ‘Simulation holds the key to innovations in aerospace and eMobility.","[E2]SAP[/E2] manager [E1]Rocky Subramanian[/E1], talks us through the benefits of human and tech augmentation in the manufacturing industry   ."
2.0,"[E1]Tomohiro Irie[/E1], [E2]Hexagon[/E2]’s Director of R&D for Cradle CFD, commented on the recent progress: ‘I expect that these technical developments will contribute to making the power of Fugaku more accessible for general use, bringing huge freedom and improved insights to engineering teams solving tomorrow’s problems today’.","[PERSON]Tomohiro Irie[/PERSON], [ORG]Hexagon[/ORG]’s Director of R&D for Cradle CFD, commented on the recent progress: ‘I expect that these technical developments will contribute to making the power of Fugaku more accessible for general use, bringing huge freedom and improved insights to engineering teams solving tomorrow’s problems today’.",Tomohiro Irie,Hexagon,managerOf,"['PERSON', 'ORG']",article_197_human_tech.txt,0.0,"[E1]Tomohiro Irie[/E1], [E2]Hexagon[/E2]’s Director of R&D for Cradle CFD, commented on the recent progress: ‘I expect that these technical developments will contribute to making the power of Fugaku more accessible for general use, bringing huge freedom and improved insights to engineering teams solving tomorrow’s problems today’.","managerOf [E2]SAP[/E2][E1]Rocky Subramanian[/E1], talks us through the benefits of human and tech augmentation in the manufacturing industry   ."
3.0,"Another challenge we’re starting to see emerge is cyberattacks increasingly targeting interconnected equipment and machinery in smart factories. PwC recently hosted a webcast, in cooperation with the [E1]National Association of Manufacturers[/E1] in the [E2]US[/E2] and Microsoft to discuss this.What are the current trends in AI and Big Data in manufacturing?","Another challenge we’re starting to see emerge is cyberattacks increasingly targeting interconnected equipment and machinery in smart factories. PwC recently hosted a webcast, in cooperation with the [ORG]National Association of Manufacturers[/ORG] in the [GPE]US[/GPE] and Microsoft to discuss this.What are the current trends in AI and Big Data in manufacturing?",National Association of Manufacturers,US,locatedAt,"['ORG', 'GPE']",article_197_human_tech.txt,1.0,"PwC recently hosted a webcast, in cooperation with the [E1]National Association of Manufacturers[/E1] in the [E2]US[/E2] and Microsoft to discuss this.What are the current trends in AI and Big Data in manufacturing?.","Said [E1]Roger Assaker[/E1], President of Design & Engineering in [E2]Hexagon[/E2]’s Manufacturing Intelligence division: ‘Simulation holds the key to innovations in aerospace and eMobility."
4.0,"The highlights of the survey and more will be among the focuses during HRE’s Spring HR Technology Conference & Exposition, which will be held virtually March 16-19. [E1]John Sumser,[/E1] founder and principal analyst of [E2]HRExaminer.com[/E2], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.","The highlights of the survey and more will be among the focuses during HRE’s Spring HR Technology Conference & Exposition, which will be held virtually March 16-19. [PERSON]John Sumser,[/PERSON] founder and principal analyst of [ORG]HRExaminer.com[/ORG], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.","John Sumser,",HRExaminer.com,managerOf,"['PERSON', 'ORG']",article_122_hr_leaders.txt,0.0,"[E1]John Sumser,[/E1] founder and principal analyst of [E2]HRExaminer com[/E2], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.",Said [E2]Hexagon[/E2] manager [E1]Roger Assaker[/E1]’s Manufacturing Intelligence division: ‘Simulation holds the key to innovations in aerospace and eMobility.
5.0,"The event, which is free to attend, will also include sessions from HR thought leaders Josh Bersin and Jason Averbook; [E1]Mimi Brooks[/E1], CEO of consulting firm [E2]Logical Design Solutions;[/E2] talent acquisition expert Jackye Clayton; and a closing keynote on diversity and inclusion from author and practitioner Torin Ellis.","The event, which is free to attend, will also include sessions from HR thought leaders Josh Bersin and Jason Averbook; [PERSON]Mimi Brooks[/PERSON], CEO of consulting firm [ORG]Logical Design Solutions;[/ORG] talent acquisition expert Jackye Clayton; and a closing keynote on diversity and inclusion from author and practitioner Torin Ellis.",Mimi Brooks,Logical Design Solutions;,managerOf,"['PERSON', 'ORG']",article_122_hr_leaders.txt,0.0,"The event, which is free to attend, will also include sessions from HR thought leaders Josh Bersin and Jason Averbook; [E1]Mimi Brooks[/E1], CEO of consulting firm [E2]Logical Design Solutions;[/E2] talent acquisition expert Jackye Clayton; and a closing keynote on diversity and inclusion from author and practitioner Torin Ellis.",Said managerOf [E2]Hexagon[/E2][E1]Roger Assaker[/E1]’s Manufacturing Intelligence division: ‘Simulation holds the key to innovations in aerospace and eMobility.
6.0,"[E1]Cboe Global Markets[/E1] a [E2]US[/E2]-based exchange operator has announced plans to introduce a new range of market maker incentives for traders in ETPs, listed on its exchanges.","[ORG]Cboe Global Markets[/ORG] a [GPE]US[/GPE]-based exchange operator has announced plans to introduce a new range of market maker incentives for traders in ETPs, listed on its exchanges.",Cboe Global Markets,US,locatedAt,"['ORG', 'GPE']",article_80_CBOE_boosts_its_incentives.txt,1.0,"[E1]Cboe Global Markets[/E1] a [E2]US[/E2]-based exchange operator has announced plans to introduce a new range of market maker incentives for traders in ETPs, listed on its exchanges.","[E1]Tomohiro Irie[/E1], [E2]Hexagon[/E2]’s Director of R&D for Cradle CFD, commented on the recent progress: ‘I expect that these technical developments will contribute to making the power of Fugaku more accessible for general use, bringing huge freedom and improved insights to engineering teams solving tomorrow’s problems today’."
7.0,"Senior Vice President and Global Head of Listings at [E2]Cboe[/E2] [E1]Laura Morrison[/E1] was quoted as saying that: “We have received extremely positive industry feedback on our LMM ( led market maker) incentive offerings, and based on further dialogue with our family of issuers and market makers, we are pleased to enhance our incentive program in an effort to help provide deeper liquidity for listed ETPs”.","Senior Vice President and Global Head of Listings at [ORG]Cboe[/ORG[PERSON]] Laura Morris[/PERSON]on was quoted as saying that: “We have received extremely positive industry feedback on our LMM ( led market maker) incentive offerings, and based on further dialogue with our family of issuers and market makers, we are pleased to enhance our incentive program in an effort to help provide deeper liquidity for listed ETPs”.",Laura Morrison,Cboe,managerOf,"['PERSON', 'ORG']",article_80_CBOE_boosts_its_incentives.txt,0.0,"Senior Vice President and Global Head of Listings at [E2]Cboe[/E2] [E1]Laura Morrison[/E1] was quoted as saying that: “We have received extremely positive industry feedback on our LMM ( led market maker) incentive offerings, and based on further dialogue with our family of issuers and market makers, we are pleased to enhance our incentive program in an effort to help provide deeper liquidity for listed ETPs”.","[E2]Hexagon[/E2] manager [E1]Tomohiro Irie[/E1]’s Director of R&D for Cradle CFD, commented on the recent progress: ‘I expect that these technical developments will contribute to making the power of Fugaku more accessible for general use, bringing huge freedom and improved insights to engineering teams solving tomorrow’s problems today’."
8.0,The [E1]Cboe BZX[/E1] exchange is the second-largest ETP exchange in the [E2]USA[/E2] when ranked by the number of primary listings and is home to 445 ETPs with a combined value of some $440 billion.,The [ORG]Cboe BZX[/ORG] exchange is the second-largest ETP exchange in the [GPE]USA[/GPE] when ranked by the number of primary listings and is home to 445 ETPs with a combined value of some $440 billion.,Cboe BZX,USA,locatedAt,"['ORG', 'GPE']",article_80_CBOE_boosts_its_incentives.txt,1.0,The [E1]Cboe BZX[/E1] exchange is the second-largest ETP exchange in the [E2]USA[/E2] when ranked by the number of primary listings and is home to 445 ETPs with a combined value of some $440 billion.,"managerOf [E2]Hexagon[/E2][E1]Tomohiro Irie[/E1]’s Director of R&D for Cradle CFD, commented on the recent progress: ‘I expect that these technical developments will contribute to making the power of Fugaku more accessible for general use, bringing huge freedom and improved insights to engineering teams solving tomorrow’s problems today’."
9.0,"“Having greater digital dexterity is no longer a pipe-dream. Businesses that don’t embrace the cloud soon may fall woefully behind. The time you can give back to your organisation by adopting more productive, automated tools and the work-life balance staff get from being able to work from home and use much more enjoyable tools can’t be understated, “explains [E1]Darren Cran[/E1], chief operating officer at Dublin-based accounting software provider [E2]AccountsIQ[/E2].","“Having greater digital dexterity is no longer a pipe-dream. Businesses that don’t embrace the cloud soon may fall woefully behind. The time you can give back to your organisation by adopting more productive, automated tools and the work-life balance staff get from being able to work from home and use much more enjoyable tools can’t be understated, “explains [PERSON]Darren Cran[/PERSON], chief operating officer at Dublin-based accounting software provider [ORG]AccountsIQ[/ORG].",Darren Cran,AccountsIQ,managerOf,"['PERSON', 'ORG']",article_219_payback_from_cloud_based.txt,0.0,"The time you can give back to your organisation by adopting more productive, automated tools and the work-life balance staff get from being able to work from home and use much more enjoyable tools can’t be understated, “explains [E1]Darren Cran[/E1], chief operating officer at Dublin-based accounting software provider [E2]AccountsIQ[/E2].","PwC recently hosted a webcast, in cooperation with the [E1]National Association of Manufacturers[/E1] in the [E2]US[/E2] and Microsoft to discuss this.What are the current trends in AI and Big Data in manufacturing?."
