id,sentence,custom_bert_prediction,openie_prediction,ground_truth,openie_generlize,acc_custom,acc_pretrained
1,Elon Musk was born in South Africa.,locatedAt,was born in,noRelation,locatedAt,0,0
2,Peter Hadju is a Hungarian professor.,locatedAt,is,noRelation,noRelation,0,1
3,Bill Gate is co-founder of Microsoft.,managerOf,is co-founder of,managerOf,managerOf,1,1
4,Cows moo with different accents.,managerOf,moo with,noRelation,noRelation,0,1
5,Satya Nadella is employed by Microsoft.,locatedAt,is employed by,employedBy,noRelation,0,0
6,Hazel Robinson is associated with Brunel University in HR.,locatedAt,is,employedBy,noRelation,0,0
7,Microsoft recently hired Jane Doe as its new Chief Technology Officer.,locatedAt,recently hired Jane Doe as,managerOf,noRelation,0,0
8,Steve Jobs served as the visionary leader and manager of Apple.,managerOf,served as,managerOf,employedBy,1,0
9,The headquarters of Amazon is located in Seattle.,managerOf,is located in,locatedAt,locatedAt,0,1
10,IBM produces cutting-edge technology solutions.,managerOf,produces,noRelation,noRelation,0,1
11,"SpaceX employs thousands of engineers, including Emily Johnson.",managerOf,,employedBy,noRelation,0,0
12,Mark Zuckerberg is the founder and manager of Facebook.,locatedAt,is,managerOf,noRelation,0,0
13,The Colosseum is located in Rome.,locatedAt,is located in,locatedAt,locatedAt,1,1
14,Coca-Cola is a popular beverage brand around the world.,locatedAt,is,noRelation,noRelation,0,1
15,Marie Curie was employed by the University of Paris.,managerOf,was employed by,employedBy,employedBy,0,1
16,"The Sydney Opera House is located in Sydney, Australia.",locatedAt,is,locatedAt,noRelation,1,0
17,John Smith is employed by Google as a software engineer.,managerOf,is,employedBy,noRelation,0,0
18,Angela Rodriguez is the lead manager of the Marketing Department at IBM.,employedBy,is,managerOf,noRelation,0,0
19,"The headquarters of Tesla is located in Palo Alto, California.",managerOf,is located in,locatedAt,locatedAt,0,1
20,Sony manufactures high-quality electronics and entertainment products.,managerOf,manufactures,noRelation,noRelation,0,1
21,Professor Alan Johnson is hired by Harvard University as a physics lecturer.,managerOf,is,employedBy,noRelation,0,0
22,Mr.Bean is living in Italy.,managerOf,is living in,noRelation,noRelation,0,1
23,"The famous Louvre Museum is in Paris, France.",managerOf,is in,locatedAt,locatedAt,0,1
24,Facebook is a social media platform used by billions of people.,locatedAt,is,noRelation,noRelation,0,1
